x,y
60,127
61,127
62,128
62,127
60,126
59,126
60,128
61,128
61,126
61,129
62,126
62,129
58,126
57,126
57,127
58,127
59,127
59,128
58,125
57,125
59,124
59,125
58,124
60,125
63,126
63,127
61,125
98,76
97,74
61,124
97,73
98,75
97,75
62,125
98,74
63,125
98,73
97,76
98,77
98,78
99,74
97,77
96,76
95,76
95,74
94,74
93,73
99,75
99,76
100,75
100,76
96,75
99,77
96,74
100,77
101,79
100,79
101,78
99,78
89,90
89,91
96,73
90,91
91,90
88,90
91,91
87,90
90,92
88,89
88,91
87,89
86,88
86,90
87,87
86,87
89,89
86,91
86,86
55,124
54,125
53,124
54,124
52,125
53,125
51,125
50,124
89,92
88,92
90,90
55,123
90,89
54,123
56,124
54,127
55,127
51,130
51,131
51,129
51,128
50,128
50,129
50,130
50,131
50,132
48,131
49,130
47,128
50,126
56,123
21,135
21,132
46,119
55,125
51,120
48,120
38,129
56,125
58,74
60,74
59,74
55,126
56,126
60,73
58,73
56,127
58,75
59,73
54,126
59,75
55,128
67,98
67,100
67,101
60,75
68,101
66,99
66,100
66,101
59,76
67,102
57,74
68,100
68,103
57,75
68,102
58,76
102,84
56,76
57,73
55,74
56,75
101,84
102,85
69,100
102,83
69,99
104,83
68,99
104,84
103,85
102,86
104,85
67,99
103,84
103,83
102,81
98,84
101,81
100,84
102,80
100,82
100,86
99,86
98,85
99,83
66,103
66,106
65,105
66,105
67,104
65,103
64,104
65,106
64,108
63,124
65,107
63,108
62,124
65,104
66,104
60,120
60,121
63,123
61,121
62,123
63,122
62,122
61,120
59,120
61,130
61,131
62,130
62,131
62,120
59,123
62,121
58,123
57,122
60,123
57,121
60,122
53,120
57,128
57,129
58,129
58,128
59,130
56,129
56,128
57,130
62,114
61,114
59,114
58,114
56,130
59,115
62,117
61,117
61,115
60,115
55,129
60,124
61,116
62,115
63,128
63,114
64,128
64,127
61,134
63,130
65,129
63,129
64,130
66,130
61,135
65,126
64,129
58,121
62,118
61,118
58,122
59,121
57,123
57,124
56,122
59,122
56,131
56,133
57,132
58,133
55,132
58,131
57,134
59,135
55,133
68,121
71,117
69,121
67,121
64,126
69,122
68,119
66,120
69,119
69,118
69,117
70,117
65,115
66,114
64,119
65,113
64,114
64,120
64,115
64,122
64,116
64,117
63,115
63,117
69,116
68,116
66,118
67,116
67,118
65,116
65,120
65,114
63,120
53,129
54,129
53,128
53,130
54,130
54,128
57,119
59,119
63,121
57,116
59,117
58,119
56,119
55,118
59,118
59,116
60,118
73,135
73,134
61,119
74,131
72,132
70,130
72,134
60,119
71,137
75,136
62,119
73,133
71,132
65,123
66,122
66,121
66,125
65,125
64,124
72,133
65,124
76,122
74,121
78,124
76,124
64,123
75,122
73,119
76,118
60,132
76,121
61,133
78,121
60,134
79,120
77,122
62,132
61,132
64,134
63,132
64,131
76,123
63,133
64,135
77,123
63,136
64,136
66,135
66,137
65,138
92,131
64,140
91,134
65,134
92,130
71,121
94,131
70,119
95,129
72,119
92,133
92,134
70,122
69,123
70,121
93,132
70,123
92,132
72,122
73,120
68,123
61,138
93,131
61,137
60,138
97,127
61,136
59,137
97,126
60,137
96,127
62,140
60,139
58,136
69,133
69,132
69,129
67,131
96,126
95,119
66,132
70,134
69,125
94,118
95,117
67,125
96,118
66,126
87,141
68,126
66,128
72,126
72,127
73,124
71,125
70,125
70,124
87,140
98,125
96,120
101,119
99,124
94,123
98,123
97,124
98,119
83,136
96,123
81,141
82,134
85,145
85,146
97,125
84,147
75,130
86,144
87,142
77,131
78,134
82,146
79,132
88,138
81,130
87,138
76,129
73,128
89,137
72,129
90,136
84,132
69,107
77,125
69,106
79,125
71,106
80,124
72,107
81,126
70,105
79,127
69,104
80,127
77,126
75,125
80,123
86,119
92,118
89,118
88,118
85,120
68,105
85,119
83,120
82,121
68,107
84,123
86,122
84,124
85,126
68,106
84,128
67,106
85,128
87,129
89,130
67,107
89,123
92,120
89,120
90,121
89,125
92,126
91,123
90,125
70,109
65,139
68,109
64,141
67,142
67,140
69,108
68,141
76,114
67,143
74,114
69,143
77,113
73,143
78,111
71,143
75,114
75,143
73,114
72,139
73,116
73,117
74,137
75,115
71,138
76,116
71,140
77,115
77,116
69,138
76,117
77,139
75,117
77,114
78,139
78,141
76,141
79,143
80,138
79,136
81,139
76,115
81,118
80,118
81,116
84,115
81,115
86,117
81,113
84,117
83,114
79,112
83,113
78,118
82,119
63,110
65,110
62,108
65,111
65,109
82,118
66,109
66,110
73,103
75,104
74,103
75,102
74,102
73,101
71,102
63,112
71,104
63,113
72,105
64,112
73,105
71,99
64,113
63,111
72,101
74,100
71,98
62,110
70,99
70,100
74,97
75,99
63,102
77,98
60,105
78,98
62,101
61,100
77,97
63,100
77,96
65,101
74,96
63,104
74,93
63,106
73,95
61,103
72,95
61,104
60,104
73,98
71,110
63,103
68,111
69,113
70,111
54,100
68,110
54,98
67,112
53,102
68,113
52,102
68,114
51,101
74,111
52,103
76,111
55,101
77,111
54,99
78,110
54,97
75,110
55,97
74,110
73,107
53,101
72,110
53,100
72,111
73,111
52,99
75,112
60,110
72,113
71,114
74,113
61,109
61,110
72,112
61,111
70,113
61,113
69,114
60,111
69,115
58,111
71,115
58,110
58,109
59,110
83,116
84,113
60,109
51,110
51,113
55,96
50,109
55,95
50,108
54,96
49,110
51,111
53,96
52,110
57,103
53,110
57,102
53,108
58,104
52,107
58,102
60,102
61,102
60,100
51,109
59,100
57,101
62,97
56,102
61,96
57,104
55,106
62,95
61,97
54,104
62,98
55,107
63,99
56,106
55,105
63,97
55,104
64,97
53,104
65,97
65,96
52,105
63,96
53,106
62,96
54,105
58,107
56,108
65,99
59,107
65,98
58,106
57,105
57,106
56,107
55,108
54,112
55,109
56,110
56,109
55,112
57,109
57,108
53,113
48,109
53,114
52,112
49,104
53,112
50,102
55,110
48,107
55,111
47,108
57,110
46,109
56,112
48,110
55,113
48,111
63,89
69,95
69,96
63,88
70,95
70,94
70,96
68,94
67,96
68,96
69,97
59,99
58,99
55,99
62,89
57,99
57,98
56,97
57,97
64,89
59,96
59,97
59,98
60,96
61,98
63,90
55,94
62,90
55,93
56,92
57,93
55,91
56,94
56,91
57,94
57,95
58,92
56,95
56,96
57,91
57,92
58,93
43,95
54,91
69,82
55,92
69,80
72,82
72,80
71,81
68,80
67,80
59,88
58,89
57,88
59,89
60,89
60,91
60,90
60,94
59,91
58,87
60,93
59,90
59,94
58,90
58,94
57,89
57,90
59,95
61,88
60,95
60,87
61,94
60,88
61,86
62,94
56,89
62,92
61,90
62,91
64,91
64,88
61,89
60,92
65,90
63,87
64,92
63,93
66,95
64,93
66,91
61,92
65,93
68,88
58,83
70,92
59,86
70,91
59,84
71,89
57,82
69,89
57,83
68,86
57,84
66,86
57,85
67,87
58,84
67,89
58,85
68,90
59,85
68,92
60,85
72,93
76,92
61,84
75,93
61,83
72,92
72,90
71,92
70,85
68,84
70,83
71,87
70,87
71,86
72,88
66,84
70,81
69,79
64,83
